class_id,class_name,n_images,avg_width,avg_height,min_width,max_width,min_height,max_height,avg_file_size_mb,min_file_size_mb,max_file_size_mb,n_corrupted
0,Must Have 01 - Civil War (2020),234,1700.0,2200.0,1700,1700,2200,2200,3.6550138872912807,1.8747520446777344,5.24180793762207,0
1,Must Have 02 - Avengers Divisi (2020),206,1337.0533980582525,1826.6990291262136,1006,3924,1600,3139,3.9553910690603904,1.5560426712036133,17.64824390411377,0
2,Must Have 03 - Spider-Man Spider-Verse (2020),228,1700.0,2200.0,1700,1700,2200,2200,3.5867746420073927,1.7152862548828125,4.808609962463379,0
3,Must Have 04 - Wolverine Vecchio Logan (2020),233,1700.0,2200.0,1700,1700,2200,2200,3.805301793143473,1.8689861297607422,6.040831565856934,0
4,Must Have 05 - Deadpool Uccide L'universo Marvel (2020-09),110,1700.0,2200.0,1700,1700,2200,2200,3.339063358306885,1.8590145111083984,4.6235504150390625,0
5,Must Have 06 - L'ascesa Di Thanos (2020),138,1700.0,2200.0,1700,1700,2200,2200,3.281960293866586,1.5267763137817383,4.169232368469238,0
6,Must Have 07 - Daredevil L'uomo Senza Paura (2020),175,1700.0,2200.0,1700,1700,2200,2200,3.50304742540632,1.2123842239379883,5.414188385009766,0
7,Must Have 08- Spider-Man - Chi è Miles Morales (2020-08),160,1700.0,2200.0,1700,1700,2200,2200,3.0353557407855987,1.34210205078125,5.088160514831543,0
8,Must Have 09- Ms Marvel Fuori Dalla Norma (2020),131,1700.0,2200.0,1700,1700,2200,2200,3.9539354702898564,1.1539840698242188,4.8426713943481445,0
9,Must Have 10 - Wolverine La morte di Wolverine (Panini 2020),131,1700.0,2200.0,1700,1700,2200,2200,3.2165929998150307,0.21561527252197266,4.446087837219238,0
10,Must Have 11 - Il Guanto Dell Infinito (2020),274,1700.0,2200.0,1700,1700,2200,2200,4.317424286891074,1.4453229904174805,5.778904914855957,0
